"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
Charé'h el Gueneina,33,206,209,415
Charé'h Makhzan el Gaz,29,216,189,405
Haret Hassan Chalabi,87,513,494,1007
Gueneinet el Gabbari,38,231,182,413
Sans résidence fixe,,179,53,232
,609,3122,3060,6182
El Mex,,,,
El Mex,283,1206,921,2127
,283,1206,921,2127
Kafr Achri,,,,
Charé'h el Mahmoudieh,4,16,20,36
Haret Mohammed Rezk,6,30,30,60
Haret Karkour,11,45,42,87
Haret Ahmad Achri,4,11,16,27
Charé'h el Hag Issa,10,49,53,102
Charé'h Zulficar,,,,
Charé'h Gamé'h el Hag Issa,1,11,5,16
Haret Achmawi w. Rostom,19,92,91,183
Haret Hassan Abou Aly,16,97,104,201
Haret el Hag Issa,19,84,100,184
Haret el Mekaddem Youssef,6,30,29,59
Haret el Hag Mekkawi,25,141,173,314
Haret Agami,11,81,80,161
Haret el Chadli,9,63,68,131
Haret el Hahache,16,83,80,163
Haret el Bey,84,453,437,890
Haret el Gueneina,52,318,281,599
Sans résidence fixe,,182,21,203
,293,1783,1630,3416
Kafr Achri el Awadi,,,,
Phare,1,7,,7
Charé'h el Daira Sanieh,6,11,8,19
Charé'h Zervudachi,6,7,,7
Charé'h el Tarikh,3,9,10,19
Charé'h Mahattet el Gabbari,28,60,32,92
Atfet Abdel Nabi,45,335,309,644
Atfet el Segayi,3,17,9,26
Charé'h Zulfikar,33,152,134,286
Atfet el Hag Eid,15,68,77,145
Atfet Abou Sakr,4,15,19,34
Atfet Darwiche Khalil,19,74,75,149
Atfet Youssef Abdel Wahab,51,188,198,386
Atfet Abou Chohra,10,52,50,102
Haret el Sab,28,165,168,333
Atfet el Bahr,3,3,,3
Charé'h Forn el Guerayah,4,10,2,12
Ezbet el Fakhoura,16,36,35,71
Ezbet el Antika,31,72,84,156
Mohattah el Gabbari,80,81,11,92
Sans résidence fixe,,97,15,112
,388,1459,1236,2695
El Gabbari,,,,
Charé'h el Mex,3,6,11,17
Haret Ismaïl Bey,18,54,67,121
Haret Gamé’h Hussein Pacha Helmi,18,63,59,122
Haret el Dahliche,63,285,302,587
Atfet dépendt. de Charé'h el Mex,3,5,3,8
Haret Abdel Karim Moutapha el Khachiche,7,51,76,127
Haret el Cheikh Hassan Ahmed Sayed,18,78,86,164
Haret Abdel Fattah el Nazer,8,22,26,48
